Threads,Version,Time
1,4.2,900
2,4.2,600
4,4.2,600
8,4.2,960
16,4.2,1060
32,4.2,3600
1,5.0,780
2,5.0,540
4,5.0,244
8,5.0,141
16,5.0,103
32,5.0,113
